	Unnamed: 0	City	latitude	longitude
6231	6233	WARNER	49.2821781	49.2821781
6232	6234	WILMER	32.5890243	32.5890243
6233	6235	CORUNNA	42.9819728	42.9819728
6234	6236	WELLFLEET	41.9376051	41.9376051
6235	6237	LONGBOAT KEY	27.4125417	27.4125417
6236	6238	KIRTLAND	41.628937	41.628937
6237	6239	AMBRIDGE	40.5892339	40.5892339
6238	6240	CHUALAR	36.5714655	36.5714655
6239	6241	SURFSIDE BEACH	28.9616861	28.9616861
6240	6242	PUTNEY	51.4625524	51.4625524
6241	6243	BLANCO	30.2419274	30.2419274
6242	6244	ZILLAH	46.410275	46.410275
6243	6245	HODGKINS	41.7689207	41.7689207
6244	6246	ANNVILLE	40.3295901	40.3295901
6245	6247	WEST GREENWICH	41.6226185	41.6226185
6246	6248	SACKETS HARBOR	43.946171	43.946171
6247	6249	BELHAVEN	35.5401653	35.5401653
6248	6250	SALINEVILLE	40.6225623	40.6225623
6249	6251	SELMER	35.1700744	35.1700744
6250	6252	YADKINVILLE	36.1345807	36.1345807
6251	6253	RICE LAKE	45.5027976	45.5027976
6252	6254	PATASKALA	39.9955726	39.9955726
6253	6255	LYNDONVILLE	44.533717	44.533717
6254	6256	MINCO	35.3124244	35.3124244
6255	6257	FRANKLINVILLE	42.3370091	42.3370091
6256	6258	HILLBURN	41.1239845	41.1239845
6257	6259	BROAD RUN	39.3726174	39.3726174
6258	6260	ROBERTSDALE	30.5552959	30.5552959
6259	6261	EASTLAKE	41.6490337	41.6490337
6260	6262	PERU	-6.8699697	-6.8699697
6261	6263	SCHNECKSVILLE	40.6763665	40.6763665
6262	6264	CUMBERLAND CENTER	43.7978355	43.7978355
6263	6265	PEAPACK	40.7087982	40.7087982
6264	6266	KEUKA PARK	42.6153474	42.6153474
6265	6267	CLARKS SUMMIT	41.4941161	41.4941161
6266	6268	ALTO	44.1089458	44.1089458
6267	6269	ROSLYN	40.7998227	40.7998227
6268	6270	LA FOLLETTE	36.365831	36.365831
6269	6271	PORT ANGELES	48.118146	48.118146
6270	6272	TOWN CREEK	34.6812012	34.6812012
6271	6273	ABRAMS	44.7794197	44.7794197
6272	6274	NEBRASKA CITY	40.676526	40.676526
6273	6275	COLDSPRING	30.592421	30.592421
6274	6276	TERRYTOWN	29.90315745	29.90315745
6275	6277	HIDDEN VALLEY LAKE	38.8025675	38.8025675
6276	6278	WINSTON	43.1220119	43.1220119
6277	6279	BELLE PLAINE	41.8969202	41.8969202
6278	6280	LAKE SUZY	27.0381125	27.0381125
6279	6281	NOKOMIS	51.510452	51.510452
6280	6282	SURRY	37.1381363	37.1381363
6281	6283	WATKINS	45.3152415	45.3152415
6282	6284	SWARTHMORE	39.90193485	39.90193485
6283	6285	GAS CITY	40.4872625	40.4872625
6284	6286	QUIL CEDA VILLAGE	48.07886155	48.07886155
6285	6287	ONANCOCK	37.7118	37.7118
6286	6288	GETZVILLE	43.0243244	43.0243244
6287	6289	PINEHILL	47.956057	47.956057
6288	6290	PORT BYRON	41.6063216	41.6063216
6289	6291	OOLTEWAH	35.072036	35.072036
6290	6292	GRANVILLE	48.8376284	48.8376284
6291	6293	MONCLOVA	26.8999988	26.8999988
6292	6294	AVALON	33.34221	33.34221
6293	6295	WOLF LAKE	46.8030154	46.8030154
6294	6296	PORT ISABEL	26.0734119	26.0734119
6295	6297	SPENCERPORT	43.18645	43.18645
6296	6298	MEEKER	45.1183643	45.1183643
6297	6299	HARDEEVILLE	32.2802665	32.2802665
6298	6300	LILLIAN	32.5065277	32.5065277
6299	6301	SURFSIDE	25.8784285	25.8784285
6300	6302	POYNETTE	43.3902644	43.3902644
6301	6303	ORBISONIA	40.2428588	40.2428588
6302	6304	GLENWOOD CITY	45.0586304	45.0586304
6303	6305	FARRAGUT	40.7192038	40.7192038
6304	6306	BLYTHEWOOD	34.2187005	34.2187005
6305	6307	PLAINS	33.1892387	33.1892387
6306	6308	PIERRE PART	29.9556415	29.9556415
6307	6309	BRANDENBURG	52.8455492	52.8455492
6308	6310	CLIFTON TOWNSHIP	46.7635815	46.7635815
6309	6311	APPLING	33.5459683	33.5459683
6310	6312	GATLINBURG	35.714259	35.714259
6311	6313	PLUMSTEADVILLE	40.3873269	40.3873269
6312	6314	SUTTER CREEK	38.3929675	38.3929675
6313	6315	CROSBY	33.5778818	33.5778818
6314	6316	NEW FAIRFIELD	41.4664832	41.4664832
6315	6317	MERAUX	29.926961	29.926961
6316	6318	WEST BROOKFIELD	42.2537808	42.2537808
6317	6319	DILLARD	34.9700911	34.9700911
6318	6320	PEA RIDGE	36.4515042	36.4515042
6319	6321	PECULIAR	38.7145481	38.7145481
6320	6322	COLUMBUS GROVE	40.919711	40.919711
6321	6323	LARNED	38.1805693	38.1805693
6322	6324	OSYKA	31.0068453	31.0068453
6323	6325	MARYDEL	39.1123348	39.1123348
6324	6326	BARTONSVILLE	39.389387	39.389387
6325	6327	BLACK RIVER FALLS	44.2952152	44.2952152
6326	6328	CASTILE	42.7720066	42.7720066
6327	6329	GARRETSON	43.716241	43.716241
6328	6330	SWEETSER	40.5719842	40.5719842
6329	6331	GLEN SAINT MARY	30.2757913	30.2757913
6330	6332	GOLDSTON	35.5932028	35.5932028
6331	6333	KENTFIELD	37.94569915	37.94569915
6332	6334	WAXHAW	34.9248125	34.9248125
6333	6335	BARTONVILLE	40.6503158	40.6503158
6334	6336	CENTER STRAFFORD	43.2700812	43.2700812
6335	6337	NISSWA	46.5205224	46.5205224
6336	6338	KEMMERER	41.7924606	41.7924606
6337	6339	GREEN ISLAND	22.6562977	22.6562977
6338	6340	CAMP WOOD	29.6693924	29.6693924
6339	6341	SALMON	45.1757547	45.1757547
6340	6342	TOPSFIELD	42.6375935	42.6375935
6341	6343	BELLEAIR BLUFFS	27.9214103	27.9214103
6342	6344	TIMMONSVILLE	34.1348782	34.1348782
6343	6345	PFAFFTOWN	36.1526379	36.1526379
6344	6346	PAWHUSKA	36.6678426	36.6678426
6345	6347	POSEN	52.4006632	52.4006632
6346	6348	TUCKAHOE	40.9503764	40.9503764
6347	6349	CARTERVILLE	37.1492253	37.1492253
6348	6350	DASSEL	45.0816298	45.0816298
6349	6351	EAST BEND	36.216528	36.216528
6350	6352	OWENS CROSS ROADS	34.5881461	34.5881461
6351	6353	ROMNEY	39.3419698	39.3419698
6352	6354	WAVERLY HALL	32.68208815	32.68208815
6353	6355	BLAIR	41.5444379	41.5444379
6354	6356	BEDMINSTER	51.4367393	51.4367393
6355	6357	MUNCY	41.20484	41.20484
6356	6358	CONTOOCOOK	43.2224096	43.2224096
6357	6359	PORT LAVACA	28.6149968	28.6149968
6358	6360	ANDERSONVILLE	32.19685455	32.19685455
6359	6361	HEDGESVILLE	39.5534303	39.5534303
6360	6362	BLACK CANYON CITY	34.0708665	34.0708665
6361	6363	CHURUBUSCO	41.2306037	41.2306037
6362	6364	LAMBERTVILLE	40.3659394	40.3659394
6363	6365	SOUTH BELOIT	42.4930708	42.4930708
6364	6366	TURBOTVILLE	41.1020285	41.1020285
6365	6367	SOUTH SALEM	39.3361754	39.3361754
6366	6368	NICHOLS	41.4812476	41.4812476
6367	6369	CHATEAUGAY	45.8502246	45.8502246
6368	6370	DECHERD	35.2098048	35.2098048
6369	6371	WHITE BIRD	45.76359	45.76359
6370	6372	NEVADA	39.5158825	39.5158825
